,Unnamed: 0,villeID,size,lat,long
485,485,Tolbazy,10183,54.02408,55.88248
501,501,Sim,15632,54.993,57.6982
792,792,Yemanzhelinsk,29849,54.75472,61.32083
793,793,Verkhnyaya Sinyachikha,10964,57.97604,61.66733
794,794,Uyar,13167,55.8118,94.3247
804,804,Norilsk,140800,69.3535,88.2027
808,808,Minusinsk,72781,53.71028,91.6875
819,819,Lokomotivnyy,10663,53.0118,60.5684
820,820,Zabaykal’sk,10563,49.6513,117.32557
825,825,Tynda,37335,55.156,124.72479
827,827,Solnechnyy,13993,50.58333,137.03333
828,828,Slavyanka,14687,42.86413,131.3882
829,829,Shimanovsk,21466,52.00575,127.67756
834,834,Magdagachi,11739,53.45398,125.80932
837,837,Khabarovsk Vtoroy,578303,48.43776,135.13329
925,925,Chom Bueng,15143,13.62,99.59169
927,927,Nong Kung Si,17001,16.65,103.3
947,947,Bokhtar,110800,37.83667,68.7775
948,948,Boshkengash,23696,38.46613,68.80533
949,949,Tursunzoda,37000,38.51271,68.23163
1069,1069,Kanda,36122,33.78333,130.98333
1070,1070,Kakamigahara,132241,35.41667,136.86667
1071,1071,Isawa,29616,35.65,138.63333
1072,1072,Imarichō-kō,57940,33.27362,129.87877
1073,1073,Ibaraki,280562,34.81641,135.56828
1074,1074,Hiratsuka,257316,35.32785,139.33735
1075,1075,Fukuyama,468812,34.48333,133.36667
1076,1076,Fujioka,18335,36.25,139.65
1077,1077,Okinawa,125483,26.33583,127.80139
1078,1078,Yuzawa,44346,39.16667,140.5
1079,1079,Yonezawa,94486,37.91,140.11667
1080,1080,Yōkaichiba,32651,35.7,140.55
1081,1081,Ōtsuchi,11572,39.36667,141.9
1082,1082,Miharu,17471,37.43333,140.48333
1083,1083,Makabe,19293,36.26667,140.1
1084,1084,Abiko,131771,35.86667,140.01667
1087,1087,Rittō,70312,35.02745,135.99971
1090,1090,Hachimantai,25076,39.89979,141.12989
1091,1091,Arashiyama,50000,35.01481,135.67755
1093,1093,Iga,88895,34.75797,136.13468
1104,1104,Balykchy,42875,42.46017,76.18709
1113,1113,Kosan,24822,38.85583,127.41806
1115,1115,Hoemul-li,11681,41.43389,129.67
1116,1116,Komusan Il-tong,12242,42.10914,129.69997
1118,1118,Yeonil,34560,36.00446,129.3185
1119,1119,Yangp'yŏng,83367,37.48972,127.49056
1120,1120,Waegwan,29691,35.99251,128.39785
1122,1122,Muan,75718,34.99014,126.47899
1123,1123,Gangneung,180611,37.75266,128.87239
1124,1124,Hwado,106358,37.6525,127.3075
1125,1125,Wabu,96775,37.58972,127.22028
1132,1132,Beyneu,14245,45.31667,55.2
1133,1133,Aktobe,500757,50.27969,57.20718
1134,1134,Zhosaly,20065,45.48778,64.07806
1135,1135,Zhitikara,43104,52.19019,61.19894
1146,1146,Pakse,88332,15.12022,105.79898
1150,1150,Ja Ela,32175,7.0744,79.8919
1152,1152,Badulla,47587,6.9802,81.0577
1210,1210,Thayetmyo,98185,19.32076,95.18272
1211,1211,Letpandan,38936,17.78664,95.75076
1212,1212,Pathein,237089,16.77919,94.73212
1220,1220,Bulgan,17348,48.8125,103.53472
1456,1456,Muricay,132094,7.8275,123.4782
1461,1461,Mariveles,84567,14.43385,120.48569
1464,1464,Manolo Fortich,27064,8.36972,124.86444
1473,1473,Maao,25837,10.4896,122.9907
1505,1505,Concepcion,64402,15.32546,120.65723
1508,1508,Cavite City,115932,14.48369,120.89878
1510,1510,Capas,72070,15.33117,120.5898
1512,1512,Caloocan City,1500000,14.64953,120.96788
1522,1522,Cabanatuan City,327325,15.48586,120.96648
1528,1528,Botolan,22994,15.2896,120.0245
1530,1530,Binmaley,44026,16.03232,120.26904
1532,1532,Batac City,55484,18.0554,120.56489
1552,1552,Aparri,33230,18.3566,121.6406
1555,1555,Agusan,14756,8.49056,124.73722
1563,1563,Sialkot,477396,32.49268,74.53134
1564,1564,Sharqpur Sharif,31855,31.46116,74.10091
1565,1565,Ranipur,22495,27.2872,68.50623
1568,1568,Mian Sahib,25000,28.15341,68.64182
1569,1569,Malir Cantonment,300000,24.94343,67.20591
1570,1570,Madeji,14802,27.75314,68.45166
1571,1571,Lachi,18537,33.38291,71.33733
1572,1572,Kasur,290643,31.11866,74.45025
1573,1573,Kaleke Mandi,16361,31.97597,73.59999
1574,1574,Kalabagh,15976,32.96164,71.54638
1752,1752,Al Wakrah,26436,25.17151,51.60337
1929,1929,Kuah,30212,6.32649,99.8432
1930,1930,Papar,19278,5.73333,115.93333
1931,1931,Pekan,31826,3.4836,103.3996
1932,1932,Nibong Tebal,40072,5.16586,100.47793
1933,1933,Parit Buntar,27313,5.12671,100.49316
1934,1934,Klebang Besar,38643,2.2186,102.1995
1935,1935,Kampong Kadok,19233,6.0,102.25
2023,2023,Biratnagar,244750,26.45505,87.27007
