,Unnamed: 0,villeID,size,lat,long
44,44,East Chattanooga,154024,35.06535,-85.24912
73,73,Longview,82287,32.5007,-94.74049
79,79,Round Rock,115997,30.50826,-97.6789
85,85,Tyler,103700,32.35126,-95.30106
106,106,Council Bluffs,62597,41.26194,-95.86083
111,111,Sioux City,82821,42.49999,-96.40031
125,125,Orland Park,58619,41.63031,-87.85394
144,144,Framingham Center,65413,42.29732,-71.43701
168,168,Novi,58723,42.48059,-83.47549
179,179,Blaine,62124,45.1608,-93.23495
181,181,Brooklyn Park,79149,45.09413,-93.35634
192,192,Saint Paul,285068,44.94441,-93.09327
249,249,Schenectady,65305,42.81424,-73.93957
253,253,Staten Island,468730,40.56233,-74.13986
270,270,Lorain,63647,41.45282,-82.18237
468,468,Zyuzino,121000,55.65608,37.56846
469,469,Zhulebino,150000,55.7,37.85
471,471,Zamoskvorech’ye,55000,55.73333,37.63333
473,473,Yeysk,87814,46.7055,38.2739
476,476,Vyksa,61664,55.32058,42.17402
478,478,Volzhsky,323293,48.78583,44.77973
488,488,Taganrog,279056,47.23627,38.9053
505,505,Ryazan’,538962,54.6269,39.6916
507,507,Reutov,78370,55.76273,37.86303
512,512,Petrodvorets,61973,59.89565,29.80145
524,524,Yaroslavskiy,91000,55.88333,37.71667
533,533,Kupchino,54198,59.85278,30.35667
544,544,Khasavyurt,126829,43.24872,46.58571
546,546,Kamyshin,128626,50.09833,45.41601
548,548,Kaliningrad,475056,54.70649,20.51095
553,553,Dzerzhinsk,233126,56.24422,43.45543
569,569,Songea,286285,-10.68333,35.65
590,590,Stryi,61404,49.26171,23.84721
598,598,Shakhtarsk,71700,48.05657,38.43826
606,606,Zviahel,55925,50.59412,27.6165
608,608,Nikopol,105160,47.56826,34.39126
611,611,Melitopol,148851,46.84735,35.38196
645,645,Decatur,55437,34.60593,-86.98334
654,654,Tuscaloosa,98332,33.20984,-87.56917
670,670,Brandon,103483,27.9378,-82.28592
671,671,Carol City,63031,25.94065,-80.2456
673,673,Coral Springs,129485,26.27119,-80.2706
689,689,North Port,62345,27.04422,-82.23593
692,692,Palm Beach Gardens,52923,26.82339,-80.13865
700,700,Tamarac,64681,26.21286,-80.24977
715,715,Marietta,59067,33.9526,-84.54993
720,720,Valdosta,55724,30.83334,-83.28032
771,771,Donetsk,50850,48.33962,39.95948
773,773,Dachnoye,72822,59.84167,30.25583
804,804,Norilsk,140800,69.3535,88.2027
808,808,Minusinsk,72781,53.71028,91.6875
837,837,Khabarovsk Vtoroy,578303,48.43776,135.13329
842,842,Kurortnyy,70589,60.16562,29.908
844,844,Obruchevo,85616,55.6591,37.52291
846,846,Al Mubarraz,290802,25.40768,49.59028
863,863,Norrköping,93765,58.59419,16.1826
909,909,Dougnane,69556,14.95,-16.86667
